v1	V(n002)	I(R1)
1.225000000000004e+001	1.194731e+001	6.440213e-004
1.230000000000004e+001	1.195103e+001	7.424835e-004
1.235000000000004e+001	1.195433e+001	8.418575e-004
1.240000000000004e+001	1.195728e+001	9.419583e-004
1.245000000000004e+001	1.195995e+001	1.042651e-003
1.250000000000004e+001	1.196240e+001	1.143835e-003
1.255000000000004e+001	1.196465e+001	1.245432e-003
1.260000000000004e+001	1.196673e+001	1.347381e-003
1.265000000000005e+001	1.196867e+001	1.449634e-003
1.270000000000005e+001	1.197049e+001	1.552152e-003
1.275000000000005e+001	1.197220e+001	1.654903e-003
1.280000000000005e+001	1.197381e+001	1.757860e-003
1.285000000000005e+001	1.197533e+001	1.861000e-003
1.290000000000005e+001	1.197678e+001	1.964304e-003
1.295000000000005e+001	1.197815e+001	2.067757e-003
1.300000000000005e+001	1.197947e+001	2.171344e-003
1.305000000000005e+001	1.198072e+001	2.275054e-003
1.310000000000005e+001	1.198193e+001	2.378875e-003
1.315000000000005e+001	1.198308e+001	2.482799e-003
1.320000000000005e+001	1.198420e+001	2.586817e-003
1.325000000000005e+001	1.198527e+001	2.690922e-003
1.330000000000005e+001	1.198630e+001	2.795109e-003
1.335000000000006e+001	1.198730e+001	2.899370e-003
1.340000000000006e+001	1.198826e+001	3.003701e-003
1.345000000000006e+001	1.198919e+001	3.108097e-003
1.350000000000006e+001	1.199010e+001	3.212554e-003
1.355000000000006e+001	1.199098e+001	3.317069e-003
1.360000000000006e+001	1.199183e+001	3.421637e-003
1.365000000000006e+001	1.199266e+001	3.526256e-003
1.370000000000006e+001	1.199347e+001	3.630922e-003
1.375000000000006e+001	1.199425e+001	3.735634e-003
1.380000000000006e+001	1.199502e+001	3.840388e-003
1.385000000000006e+001	1.199576e+001	3.945182e-003
1.390000000000006e+001	1.199649e+001	4.050015e-003
1.395000000000006e+001	1.199720e+001	4.154884e-003
1.400000000000006e+001	1.199790e+001	4.259787e-003
1.405000000000007e+001	1.199858e+001	4.364724e-003
1.410000000000007e+001	1.199924e+001	4.469692e-003
1.415000000000007e+001	1.199990e+001	4.574690e-003
1.420000000000007e+001	1.200053e+001	4.679717e-003
1.425000000000007e+001	1.200116e+001	4.784771e-003
1.430000000000007e+001	1.200177e+001	4.889851e-003
1.435000000000007e+001	1.200237e+001	4.994956e-003
1.440000000000007e+001	1.200296e+001	5.100086e-003
1.445000000000007e+001	1.200354e+001	5.205238e-003
1.450000000000007e+001	1.200411e+001	5.310413e-003
1.455000000000007e+001	1.200466e+001	5.415609e-003
1.460000000000007e+001	1.200521e+001	5.520826e-003
1.465000000000007e+001	1.200575e+001	5.626062e-003
1.470000000000007e+001	1.200628e+001	5.731318e-003
1.475000000000008e+001	1.200680e+001	5.836592e-003
1.480000000000008e+001	1.200731e+001	5.941883e-003
1.485000000000008e+001	1.200782e+001	6.047192e-003
1.490000000000008e+001	1.200832e+001	6.152517e-003
1.495000000000008e+001	1.200881e+001	6.257858e-003
1.500000000000000e+001	1.200929e+001	6.363215e-003
