Freq.	V(out)/V(in)
1.44543977074592e+002	(-2.01195257035566e+001dB,3.03826773209838e+001°)
1.47910838816820e+002	(-1.96052414734308e+001dB,3.04832169848386e+001°)
1.51356124843620e+002	(-1.90896362589934e+001dB,3.05680430736622e+001°)
1.54881661891247e+002	(-1.85727724365124e+001dB,3.06367155660350e+001°)
1.58489319246110e+002	(-1.80547149106979e+001dB,3.06888059849079e+001°)
1.62181009735892e+002	(-1.75355310269188e+001dB,3.07238979931679e+001°)
1.65958690743755e+002	(-1.70152904812427e+001dB,3.07415879481833e+001°)
1.69824365246173e+002	(-1.64940652287415e+001dB,3.07414854168620e+001°)
1.73780082874936e+002	(-1.59719293908744e+001dB,3.07232136519438e+001°)
1.77827941003891e+002	(-1.54489591619382e+001dB,3.06864100313768e+001°)
1.81970085860997e+002	(-1.49252327154415e+001dB,3.06307264627194e+001°)
1.86208713666286e+002	(-1.44008301108794e+001dB,3.05558297552946e+001°)
1.90546071796323e+002	(-1.38758332005243e+001dB,3.04614019611628e+001°)
1.94984459975803e+002	(-1.33503255374387e+001dB,3.03471406891133e+001°)
1.99526231496887e+002	(-1.28243922840601e+001dB,3.02127593927142e+001°)
2.04173794466952e+002	(-1.22981201222142e+001dB,3.00579876364401e+001°)
2.08929613085403e+002	(-1.17715971641560e+001dB,2.98825713414859e+001°)
2.13796208950222e+002	(-1.12449128645993e+001dB,2.96862730138195e+001°)
2.18776162394954e+002	(-1.07181579344524e+001dB,2.94688719583023e+001°)
2.23872113856832e+002	(-1.01914242549220e+001dB,2.92301644785407e+001°)
2.29086765276776e+002	(-9.66480479341989e+000dB,2.89699640680075e+001°)
2.34422881531991e+002	(-9.13839351938748e+000dB,2.86881015905146e+001°)
2.39883291901947e+002	(-8.61228532148598e+000dB,2.83844254552127e+001°)
2.45470891568501e+002	(-8.08657592466147e+000dB,2.80588017847170e+001°)
2.51188643150956e+002	(-7.56136180751784e+000dB,2.77111145790513e+001°)
2.57039578276885e+002	(-7.03674011939737e+000dB,2.73412658751772e+001°)
2.63026799189536e+002	(-6.51280859704791e+000dB,2.69491759032027e+001°)
2.69153480392690e+002	(-5.98966548055509e+000dB,2.65347832387123e+001°)
2.75422870333815e+002	(-5.46740942818666e+000dB,2.60980449516525e+001°)
2.81838293126443e+002	(-4.94613942997019e+000dB,2.56389367507114e+001°)
2.88403150312659e+002	(-4.42595471930360e+000dB,2.51574531213472e+001°)
2.95120922666637e+002	(-3.90695468326041e+000dB,2.46536074591010e+001°)
3.01995172040200e+002	(-3.38923877030947e+000dB,2.41274321933522e+001°)
3.09029543251357e+002	(-2.87290639599882e+000dB,2.35789789018876e+001°)
3.16227766016836e+002	(-2.35805684609360e+000dB,2.30083184137198e+001°)
3.23593656929626e+002	(-1.84478917690308e+000dB,2.24155408970806e+001°)
3.31131121482589e+002	(-1.33320211365712e+000dB,2.18007559333312e+001°)
3.38844156139200e+002	(-8.23393945138980e-001dB,2.11640925686192e+001°)
3.46736850452529e+002	(-3.15462416756296e-001dB,2.05056993482736e+001°)
3.54813389233573e+002	(1.90495380063063e-001dB,1.98257443229480e+001°)
3.63078054770099e+002	(6.94383119988292e-001dB,1.91244150322704e+001°)
3.71535229097170e+002	(1.19610535904840e+000dB,1.84019184559050e+001°)
3.80189396320558e+002	(1.69556765130997e+000dB,1.76584809354291e+001°)
3.89045144994278e+002	(2.19267666782267e+000dB,1.68943480611410e+001°)
3.98107170553494e+002	(2.68734031695919e+000dB,1.61097845223261e+001°)
4.07380277804110e+002	(3.17946786565262e+000dB,1.53050739209034e+001°)
4.16869383470332e+002	(3.66897006197932e+000dB,1.44805185425594e+001°)
4.26579518801589e+002	(4.15575925727658e+000dB,1.36364390895109e+001°)
4.36515832240163e+002	(4.63974952877635e+000dB,1.27731743678931e+001°)
4.46683592150960e+002	(5.12085680107817e+000dB,1.18910809345168e+001°)
4.57088189614872e+002	(5.59899896720151e+000dB,1.09905326959301e+001°)
4.67735141287195e+002	(6.07409600712776e+000dB,1.00719204671760e+001°)
4.78630092322635e+002	(6.54607010493977e+000dB,9.13565148358186e+000°)
4.89778819368443e+002	(7.01484576280436e+000dB,8.18214887089136e+000°)
5.01187233627268e+002	(7.48034991219928e+000dB,7.21185107087769e+000°)
5.12861383991361e+002	(7.94251202129118e+000dB,6.22521122640942e+000°)
5.24807460249769e+002	(8.40126419813503e+000dB,5.22269652638347e+000°)
5.37031796370249e+002	(8.85654128962884e+000dB,4.20478751112940e+000°)
5.49540873857620e+002	(9.30828097542759e+000dB,3.17197734106987e+000°)
5.62341325190345e+002	(9.75642385636265e+000dB,2.12477103243582e+000°)
5.75439937337152e+002	(1.02009135375110e+001dB,1.06368465807385e+000°)
5.88843655355584e+002	(1.06416967052064e+001dB,-1.07554796454076e-002°)
6.02559586074353e+002	(1.10787231978883e+001dB,-1.09801370494205e+000°)
6.16595001861477e+002	(1.15119460703143e+001dB,-2.19754584791159e+000°)
6.30957344480188e+002	(1.19413216515788e+001dB,-3.30880014873544e+000°)
6.45654229034650e+002	(1.23668095959571e+001dB,-4.43121817942585e+000°)
6.60693448007591e+002	(1.27883729270099e+001dB,-5.56423578376214e+000°)
6.76082975391976e+002	(1.32059780747584e+001dB,-6.70728403297387e+000°)
6.91830970918931e+002	(1.36195949054956e+001dB,-7.85979019156879e+000°)
7.07945784384132e+002	(1.40291967446848e+001dB,-9.02117869506238e+000°)
7.24435960074984e+002	(1.44347603926780e+001dB,-1.01908721347554e+001°)
7.41310241300911e+002	(1.48362661329319e+001dB,-1.13682922476884e+001°)
7.58577575029177e+002	(1.52336977331992e+001dB,-1.25528609095683e+001°)
7.76247116628685e+002	(1.56270424393727e+001dB,-1.37440011292764e+001°)
7.94328234724275e+002	(1.60162909620807e+001dB,-1.49411380426965e+001°)
8.12830516164092e+002	(1.64014374557916e+001dB,-1.61436999013119e+001°)
8.31763771102664e+002	(1.67824794908434e+001dB,-1.73511190574899e+001°)
8.51138038202369e+002	(1.71594180180495e+001dB,-1.85628329415756e+001°)
8.70963589956073e+002	(1.75322573259845e+001dB,-1.97782850283313e+001°)
8.91250938133738e+002	(1.79010049909891e+001dB,-2.09969257931197e+001°)
9.12010839355902e+002	(1.82656718198645e+001dB,-2.22182136510581e+001°)
9.33254300796983e+002	(1.86262717854006e+001dB,-2.34416158819910e+001°)
9.54992586021428e+002	(1.89828219544986e+001dB,-2.46666095336565e+001°)
9.77237220955802e+002	(1.93353424094646e+001dB,-2.58926823049397e+001°)
9.99999999999991e+002	(1.96838561619453e+001dB,-2.71193334017999e+001°)
1.02329299228075e+003	(2.00283890601562e+001dB,-2.83460743680043e+001°)
1.04712854805089e+003	(2.03689696892331e+001dB,-2.95724298834783e+001°)
1.07151930523760e+003	(2.07056292650663e+001dB,-3.07979385301689e+001°)
1.09647819614318e+003	(2.10384015217170e+001dB,-3.20221535212309e+001°)
1.12201845430195e+003	(2.13673225928852e+001dB,-3.32446433916092e+001°)
1.14815362149687e+003	(2.16924308873742e+001dB,-3.44649926453490e+001°)
1.17489755493952e+003	(2.20137669593599e+001dB,-3.56828023591707e+001°)
1.20226443461740e+003	(2.23313733735947e+001dB,-3.68976907391874e+001°)
1.23026877081237e+003	(2.26452945658727e+001dB,-3.81092936263878e+001°)
1.25892541179416e+003	(2.29555766995365e+001dB,-3.93172649512501e+001°)
1.28824955169312e+003	(2.32622675182994e+001dB,-4.05212771342818e+001°)
1.31825673855640e+003	(2.35654161959720e+001dB,-4.17210214307533e+001°)
1.34896288259164e+003	(2.38650731837614e+001dB,-4.29162082187986e+001°)
1.38038426460287e+003	(2.41612900554972e+001dB,-4.41065672289241e+001°)
1.41253754462274e+003	(2.44541193517204e+001dB,-4.52918477155345e+001°)
1.44543977074591e+003	(2.47436144228033e+001dB,-4.64718185681254e+001°)
1.47910838816819e+003	(2.50298292721726e+001dB,-4.76462683649814e+001°)
1.51356124843619e+003	(2.53128183998816e+001dB,-4.88150053659201e+001°)
1.54881661891247e+003	(2.55926366473058e+001dB,-4.99778574482929e+001°)
1.58489319246110e+003	(2.58693390435202e+001dB,-5.11346719854092e+001°)
1.62181009735891e+003	(2.61429806538869e+001dB,-5.22853156687007e+001°)
